"","Organism","Kingdom","Phylum","Class","Groups","mDAG_Id","Full_Name","Freq_Phylum","Freq_Class","clust4_MSA","clust4_Mun","combined_cluster_MSA_Kingdom","combined_cluster_Mun_Kingdom"
"382","daz","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0496","Drosophila arizonae",158,130,2,2,"Animals2","Animals2"
"383","dci","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0511","Diaphorina citri (Asian citrus psyllid)",158,130,2,2,"Animals2","Animals2"
"384","der","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0536","Drosophila erecta",158,130,2,2,"Animals2","Animals2"
"385","dgr","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0552","Drosophila grimshawi",158,130,2,2,"Animals2","Animals2"
"386","dhe","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0557","Drosophila hydei",158,130,2,2,"Animals2","Animals2"
"387","dme","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0614","Drosophila melanogaster (fruit fly)",158,130,2,2,"Animals2","Animals2"
"388","dmn","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0618","Drosophila miranda",158,130,2,2,"Animals2","Animals2"
"389","dmo","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0619","Drosophila mojavensis",158,130,2,2,"Animals2","Animals2"
"390","dnv","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0632","Drosophila navojoa",158,130,2,2,"Animals2","Animals2"
"391","dnx","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0634","Diuraphis noxia (Russian wheat aphid)",158,130,2,2,"Animals2","Animals2"
"392","dpa","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0646","Dendroctonus ponderosae (mountain pine beetle)",158,130,2,2,"Animals2","Animals2"
"393","dpe","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0650","Drosophila persimilis",158,130,2,2,"Animals2","Animals2"
"394","dpl","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0652","Danaus plexippus (monarch butterfly)",158,130,2,2,"Animals2","Animals2"
"395","dpo","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0653","Drosophila pseudoobscura",158,130,2,2,"Animals2","Animals2"
"396","dqu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0667","Dinoponera quadriceps",158,130,2,2,"Animals2","Animals2"
"397","dse","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0692","Drosophila sechellia",158,130,2,2,"Animals2","Animals2"
"398","dsi","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0697","Drosophila simulans",158,130,2,2,"Animals2","Animals2"
"399","dsm","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0699","Diprion similis",158,130,2,2,"Animals2","Animals2"
"400","dsr","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0703","Drosophila serrata",158,130,2,2,"Animals2","Animals2"
"401","dvi","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0723","Drosophila virilis",158,130,2,2,"Animals2","Animals2"
"402","dwi","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0734","Drosophila willistoni",158,130,2,2,"Animals2","Animals2"
"403","dya","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0755","Drosophila yakuba",158,130,2,2,"Animals2","Animals2"
"404","fas","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0438","Fopius arisanus",158,130,2,2,"Animals2","Animals2"
"405","fcd","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0460","Folsomia candida",158,130,2,2,"Animals2","Animals2"
"406","fex","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0495","Formica exsecta (narrow-headed ant)",158,130,2,2,"Animals2","Animals2"
"407","foc","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0582","Frankliniella occidentalis (western flower thrips)",158,130,2,2,"Animals2","Animals2"
"408","haw","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0392","Helicoverpa armigera (cotton bollworm)",158,130,2,2,"Animals2","Animals2"
"409","hhal","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0168","Halyomorpha halys (brown marmorated stink bug)",158,130,2,2,"Animals2","Animals2"
"410","his","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0493","Hermetia illucens (black soldier fly)",158,130,2,2,"Animals2","Animals2"
"411","hst","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0589","Harpegnathos saltator (Jerdon's jumping ant)",158,130,2,2,"Animals2","Animals2"
"412","hze","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0671","Helicoverpa zea (corn earworm)",158,130,2,2,"Animals2","Animals2"
"413","lbd","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0265","Leptopilina boulardi",158,130,2,2,"Animals2","Animals2"
"414","lcq","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0303","Lucilia cuprina (Australian sheep blowfly)",158,130,2,2,"Animals2","Animals2"
"415","ldc","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0311","Leptinotarsa decemlineata (Colorado potato beetle)",158,130,2,2,"Animals2","Animals2"
"416","lht","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0372","Leptopilina heterotoma",158,130,2,2,"Animals2","Animals2"
"417","lhu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0371","Linepithema humile (Argentine ant)",158,130,2,2,"Animals2","Animals2"
"418","lsq","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0510","Lucilia sericata (common green bottle fly)",158,130,2,2,"Animals2","Animals2"
"419","mde","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0687","Musca domestica (house fly)",158,130,2,2,"Animals2","Animals2"
"420","mdl","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0689","Microplitis demolitor",158,130,2,2,"Animals2","Animals2"
"421","mgen","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0527","Megalopta genalis",158,130,2,2,"Animals2","Animals2"
"422","mpha","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0713","Monomorium pharaonis (pharaoh ant)",158,130,2,2,"Animals2","Animals2"
"423","msex","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0140","Manduca sexta (tobacco hornworm)",158,130,2,2,"Animals2","Animals2"
"424","niq","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0336","Nymphalis io (European peacock)",158,130,2,2,"Animals2","Animals2"
"425","nlu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0370","Nilaparvata lugens (brown planthopper)",158,130,2,2,"Animals2","Animals2"
"426","nmea","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0766","Nomia melanderi (Alkali bee)",158,130,2,2,"Animals2","Animals2"
"427","npt","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0426","Neodiprion pinetum (white pine sawfly)",158,130,2,2,"Animals2","Animals2"
"428","nvi","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0499","Nasonia vitripennis (jewel wasp)",158,130,2,2,"Animals2","Animals2"
"429","nvl","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0500","Nicrophorus vespilloides (burying beetle)",158,130,2,2,"Animals2","Animals2"
"430","obb","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0611","Osmia bicornis bicornis (red mason bee)",158,130,2,2,"Animals2","Animals2"
"431","obo","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0615","Ooceraea biroi (clonal raider ant)",158,130,2,2,"Animals2","Animals2"
"432","ofu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0663","Ostrinia furnacalis (Asian corn borer)",158,130,2,2,"Animals2","Animals2"
"433","otu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0810","Onthophagus taurus (bull-headed dung beetle)",158,130,2,2,"Animals2","Animals2"
"434","pbar","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0677","Pogonomyrmex barbatus (red harvester ant)",158,130,2,2,"Animals2","Animals2"
"435","pbx","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0123","Pieris brassicae (large cabbage white)",158,130,2,2,"Animals2","Animals2"
"436","pcf","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0130","Polistes canadensis",158,130,2,2,"Animals2","Animals2"
"437","pfuc","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0809","Polistes fuscatus (common paper wasp)",158,130,2,2,"Animals2","Animals2"
"438","pgc","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0198","Pseudomyrmex gracilis (graceful twig ant)",158,130,2,2,"Animals2","Animals2"
"439","phu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0235","Pediculus humanus corporis (human body louse)",158,130,2,2,"Animals2","Animals2"
"440","pmac","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0788","Papilio machaon (common yellow swallowtail)",158,130,2,2,"Animals2","Animals2"
"441","pnap","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0386","Pieris napi (green-veined white)",158,130,2,2,"Animals2","Animals2"
"442","ppot","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0515","Papilio polytes (common Mormon)",158,130,2,2,"Animals2","Animals2"
"443","ppyr","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0633","Photinus pyralis (common eastern firefly)",158,130,2,2,"Animals2","Animals2"
"444","prap","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0239","Pieris rapae (cabbage white)",158,130,2,2,"Animals2","Animals2"
"445","pxu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0480","Papilio xuthus (Asian swallowtail)",158,130,2,2,"Animals2","Animals2"
"446","pxy","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0481","Plutella xylostella (diamondback moth)",158,130,2,2,"Animals2","Animals2"
"447","rmd","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0241","Rhopalosiphum maidis (corn leaf aphid)",158,130,2,2,"Animals2","Animals2"
"448","rze","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0439","Rhagoletis zephyria (snowberry fruit fly)",158,130,2,2,"Animals2","Animals2"
"449","scac","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0738","Stomoxys calcitrans (stable fly)",158,130,2,2,"Animals2","Animals2"
"450","sgre","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0854","Schistocerca gregaria (desert locust)",158,130,2,2,"Animals2","Animals2"
"451","sliu","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0228","Spodoptera litura (tobacco cutworm)",158,130,2,2,"Animals2","Animals2"
"452","soc","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0664","Solenopsis invicta (red fire ant)",158,130,2,2,"Animals2","Animals2"
"453","soy","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0681","Sitophilus oryzae (rice weevil)",158,130,2,2,"Animals2","Animals2"
"454","tca","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0868","Tribolium castaneum (red flour beetle)",158,130,2,2,"Animals2","Animals2"
"455","tnl","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0186","Trichoplusia ni (cabbage looper)",158,130,2,2,"Animals2","Animals2"
"456","tpal","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0490","Thrips palmi (melon thrips)",158,130,2,2,"Animals2","Animals2"
"457","tpre","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0678","Trichogramma pretiosum",158,130,2,2,"Animals2","Animals2"
"458","vem","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0846","Vollenhovia emeryi",158,130,2,2,"Animals2","Animals2"
"459","vps","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0148","Vespula pensylvanica (western yellowjacket)",158,130,2,2,"Animals2","Animals2"
"460","zce","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0747","Zerene cesonia (dogface butterfly)",158,130,2,2,"Animals2","Animals2"
"461","zne","Animals","Arthropods","Insects","MSA Cluster 2|MUN Cluster 2","0853","Zootermopsis nevadensis (dampwood termite)",158,130,2,2,"Animals2","Animals2"
"462","dmk","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0617","Daphnia magna (water flea)",158,15,2,2,"Animals2","Animals2"
"463","dpx","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0658","Daphnia pulex (common water flea)",158,15,2,2,"Animals2","Animals2"
"464","dpz","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0659","Daphnia pulicaria",158,15,2,2,"Animals2","Animals2"
"465","eaf","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0817","Eurytemora affinis",158,15,2,2,"Animals2","Animals2"
"466","esn","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0237","Eriocheir sinensis (Chinese mitten crab)",158,15,2,2,"Animals2","Animals2"
"467","hame","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0056","Homarus americanus (American lobster)",158,15,2,2,"Animals2","Animals2"
"468","hazt","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0281","Hyalella azteca",158,15,2,2,"Animals2","Animals2"
"469","lsm","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0508","Lepeophtheirus salmonis (salmon louse)",158,15,2,2,"Animals2","Animals2"
"470","pchn","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0328","Penaeus chinensis (fleshy prawn)",158,15,2,2,"Animals2","Animals2"
"471","pcla","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0388","Procambarus clarkii (red swamp crayfish)",158,15,2,2,"Animals2","Animals2"
"472","pja","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0257","Penaeus japonicus (kuruma prawn)",158,15,2,2,"Animals2","Animals2"
"473","pmoo","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0095","Penaeus monodon (black tiger shrimp)",158,15,2,2,"Animals2","Animals2"
"474","ppoi","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0526","Pollicipes pollicipes (gooseneck barnacle)",158,15,2,2,"Animals2","Animals2"
"475","ptru","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0482","Portunus trituberculatus (swimming crab)",158,15,2,2,"Animals2","Animals2"
"476","pvm","Animals","Arthropods","Crustaceans","MSA Cluster 2|MUN Cluster 2","0444","Penaeus vannamei (Pacific white shrimp)",158,15,2,2,"Animals2","Animals2"
"477","cscu","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0592","Centruroides sculpturatus (bark scorpion)",158,13,2,2,"Animals2","Animals2"
"478","dfr","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0547","Dermatophagoides farinae (American house dust mite)",158,13,2,2,"Animals2","Animals2"
"479","dpte","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0867","Dermatophagoides pteronyssinus (European house dust mite)",158,13,2,2,"Animals2","Animals2"
"480","dsv","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0706","Dermacentor silvarum",158,13,2,2,"Animals2","Animals2"
"481","isc","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0075","Ixodes scapularis (black-legged tick)",158,13,2,2,"Animals2","Animals2"
"482","lpol","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0353","Limulus polyphemus (Atlantic horseshoe crab)",158,13,2,2,"Animals2","Animals2"
"483","ptep","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0251","Parasteatoda tepidariorum (common house spider)",158,13,2,2,"Animals2","Animals2"
"484","rmp","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0247","Rhipicephalus microplus (southern cattle tick)",158,13,2,2,"Animals2","Animals2"
"485","rsan","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0728","Rhipicephalus sanguineus (brown dog tick)",158,13,2,2,"Animals2","Animals2"
"486","sdm","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0549","Stegodyphus dumicola",158,13,2,2,"Animals2","Animals2"
"487","tut","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0330","Tetranychus urticae (two-spotted spider mite)",158,13,2,2,"Animals2","Animals2"
"488","vde","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0834","Varroa destructor (honeybee mite)",158,13,2,2,"Animals2","Animals2"
"489","vja","Animals","Arthropods","Chelicerates","MSA Cluster 2|MUN Cluster 2","0019","Varroa jacobsoni",158,13,2,2,"Animals2","Animals2"
"490","bgt","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0594","Biomphalaria glabrata (bloodfluke planorb)",14,14,2,2,"Animals2","Animals2"
"491","crg","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0302","Crassostrea gigas (Pacific oyster)",14,14,2,2,"Animals2","Animals2"
"492","dpol","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0814","Dreissena polymorpha (Zebra mussel)",14,14,2,2,"Animals2","Animals2"
"493","gae","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0775","Gigantopelta aegis (peltospirid snail)",14,14,2,2,"Animals2","Animals2"
"494","hrf","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0574","Haliotis rufescens (red abalone)",14,14,2,2,"Animals2","Animals2"
"495","hrj","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0575","Haliotis rubra (blacklip abalone)",14,14,2,2,"Animals2","Animals2"
"496","lgi","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0350","Lottia gigantea (owl limpet)",14,14,2,2,"Animals2","Animals2"
"497","mcaf","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0533","Mytilus californianus (California mussel)",14,14,2,2,"Animals2","Animals2"
"498","mmer","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0374","Mercenaria mercenaria (northern quahog)",14,14,2,2,"Animals2","Animals2"
"499","myi","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0032","Mizuhopecten yessoensis (Yesso scallop)",14,14,2,2,"Animals2","Animals2"
"500","obi","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0613","Octopus bimaculoides (California two-spot octopus)",14,14,2,2,"Animals2","Animals2"
"501","osn","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0795","Octopus sinensis (East Asian common octopus)",14,14,2,2,"Animals2","Animals2"
"502","pcan","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0202","Pomacea canaliculata (golden apple snail)",14,14,2,2,"Animals2","Animals2"
"503","pmax","Animals","Mollusks","Mollusks","MSA Cluster 2|MUN Cluster 2","0772","Pecten maximus (king scallop)",14,14,2,2,"Animals2","Animals2"
"504","adf","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0088","Acropora digitifera (stony coral)",10,10,2,2,"Animals2","Animals2"
"505","amil","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0748","Acropora millepora",10,10,2,2,"Animals2","Animals2"
"506","aten","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0022","Actinia tenebrosa (Australian red waratah sea anemone)",10,10,2,2,"Animals2","Animals2"
"507","dgt","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0553","Dendronephthya gigantea (soft corals)",10,10,2,2,"Animals2","Animals2"
"508","epa","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0166","Exaiptasia diaphana (Aiptasia)",10,10,2,2,"Animals2","Animals2"
"509","hmg","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0532","Hydra vulgaris (swiftwater hydra)",10,10,2,2,"Animals2","Animals2"
"510","nve","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0497","Nematostella vectensis (starlet sea anemone)",10,10,2,2,"Animals2","Animals2"
"511","pdam","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0623","Pocillopora damicornis (lace coral)",10,10,2,2,"Animals2","Animals2"
"512","spis","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0072","Stylophora pistillata (Smooth Cauliflower Coral)",10,10,2,2,"Animals2","Animals2"
"513","xen","Animals","Cnidarians","Cnidarians","MSA Cluster 2|MUN Cluster 2","0802","Xenia sp. Carnegie-2017 (soft corals)",10,10,2,2,"Animals2","Animals2"
"514","bmy","Animals","Nematodes","Nematodes","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0669","Brugia malayi (filaria)",6,6,3,3,"Animals3","Animals3"
"515","cbr","Animals","Nematodes","Nematodes","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Cluster 2|two worms|whole set of worms","0880","Caenorhabditis briggsae (nematode)",6,6,2,2,"Animals2","Animals2"
"516","cel","Animals","Nematodes","Nematodes","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Cluster 2|two worms|whole set of worms","0038","Caenorhabditis elegans (nematode)",6,6,2,2,"Animals2","Animals2"
"517","loa","Animals","Nematodes","Nematodes","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0455","Loa loa (eye worm)",6,6,3,3,"Animals3","Animals3"
"518","nai","Animals","Nematodes","Nematodes","MSA Cluster 2|MUN Cluster 2|whole set of worms","0165","Necator americanus (New World hookworm)",6,6,2,2,"Animals2","Animals2"
"519","tsp","Animals","Nematodes","Nematodes","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0291","Trichinella spiralis",6,6,3,3,"Animals3","Animals3"
"520","egl","Animals","Flatworms","Flatworms","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0003","Echinococcus granulosus (hydatid tapeworm)",4,4,3,3,"Animals3","Animals3"
"521","ovi","Animals","Flatworms","Flatworms","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0825","Opisthorchis viverrini (Southeast Asian liver fluke)",4,4,3,3,"Animals3","Animals3"
"522","shx","Animals","Flatworms","Flatworms","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0586","Schistosoma haematobium (urinary blood fluke)",4,4,3,3,"Animals3","Animals3"
"523","smm","Animals","Flatworms","Flatworms","MSA Algae and Nematodes and Flatworms|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MSA Nematodes and Flatworms|MUN Algae and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms|MUN Nematodes and Flatworms|whole set of worms","0645","Schistosoma mansoni",4,4,3,3,"Animals3","Animals3"
"524","ajc","Animals","Echinoderms","Echinoderms","MSA Cluster 2|MUN Cluster 2","0208","Anneissia japonica (feather star)",3,3,2,2,"Animals2","Animals2"
"525","aplc","Animals","Echinoderms","Echinoderms","MSA Cluster 2|MUN Cluster 2","0287","Acanthaster planci (crown-of-thorns starfish)",3,3,2,2,"Animals2","Animals2"
"526","spu","Animals","Echinoderms","Echinoderms","MSA Cluster 2|MUN Cluster 2","0695","Strongylocentrotus purpuratus (purple sea urchin)",3,3,2,2,"Animals2","Animals2"
"527","bbel","Animals","Cephalochordates","Cephalochordates","MSA Cluster 2|MUN Cluster 2","0126","Branchiostoma belcheri (Belcher's lancelet)",2,2,2,2,"Animals2","Animals2"
"528","bfo","Animals","Cephalochordates","Cephalochordates","MSA Cluster 2|MUN Cluster 2","0578","Branchiostoma floridae (Florida lancelet)",2,2,2,2,"Animals2","Animals2"
"529","cin","Animals","Tunicates","Tunicates","MSA Cluster 2|MUN Cluster 2","0125","Ciona intestinalis (yellow sea squirt)",2,2,2,2,"Animals2","Animals2"
"530","sclv","Animals","Tunicates","Tunicates","MSA Cluster 2|MUN Cluster 2","0879","Styela clava (leathery sea squirt)",2,2,2,2,"Animals2","Animals2"
"531","hro","Animals","Annelids","Annelids","MSA Cluster 2|MUN Cluster 2","0576","Helobdella robusta",1,1,2,2,"Animals2","Animals2"
"532","lak","Animals","Brachiopodas","Brachiopodas","MSA Cluster 2|MUN Cluster 2","0250","Lingula anatina",1,1,2,2,"Animals2","Animals2"
"533","sko","Animals","Hemichordates","Hemichordates","MSA Cluster 2|MUN Cluster 2","0624","Saccoglossus kowalevskii (acorn worm)",1,1,2,2,"Animals2","Animals2"
"534","tad","Animals","Placozoans","Placozoans","MSA Cluster 2|MUN Cluster 2","0843","Trichoplax adhaerens (placozoan)",1,1,2,2,"Animals2","Animals2"
"535","aqu","Animals","Poriferans","Poriferans","MSA Cluster 2|MUN Cluster 2","0346","Amphimedon queenslandica (sponge)",1,1,2,2,"Animals2","Animals2"
"536","ago","Fungi","Ascomycetes","Saccharomycetes","Fungui and Algae|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms","0157","Ashbya gossypii (Eremothecium gossypii)",113,41,3,3,"Fungi3","Fungi3"
"537","bbrx","Fungi","Ascomycetes","Saccharomycetes","Fungui and Algae|MSA Cluster 3|MSA Fungui and Nematodes and Flatworms|MUN Cluster 3|MUN Fungui and Nematodes and Flatworms","0398","Brettanomyces bruxellensis",113,41,3,3,"Fungi3","Fungi3"
